SampleID,Length,Weight,Minutes,Hook,Tissue,Strength,Depth,O2,PPM,Species
7141,18,20,545,3,9,36.03158778,10900.17125,26.004,4.135,Chain Pickerel
7369,25,58,679,4,28,59.80887978,39382.36639,35.95,3.42,Chain Pickerel
6070,21,33,741,4,7,47.43588977,24453.31257,30.838,2.105,Chain Pickerel
8664,21,33,257,1,3,44.66198441,8481.636306,27.838,3.045,Chain Pickerel
2396,18,20,103,7,5,31.6854378,2060.260777,30.004,1.075,Chain Pickerel
3347,31,126,45,6,90,127.402459,5670.661933,45.618,4.35,Chain Pickerel
1405,16,14,192,6,10,21.26663138,2688.019758,26.448,4.15,Chain Pickerel
4461,25,58,358,4,27,48.9262741,20764.08284,35.95,4.405,Chain Pickerel
2350,23,44,642,6,12,23.0603239,28248.17518,35.394,2.18,Chain Pickerel
4338,22,38,269,2,9,52.21748857,10222.68444,30.116,2.135,Chain Pickerel
4818,15,11,85,2,15,18.94408565,935.5236673,21.17,3.225,Chain Pickerel
4194,23,44,578,4,12,26.47819677,25432.81805,33.394,3.18,Chain Pickerel
6343,27,83,513,3,51,61.14659015,42579.94019,37.506,2.765,Chain Pickerel
3672,31,126,176,5,89,84.57688159,22176.91699,44.618,2.335,Chain Pickerel
4567,28,92,60,2,56,30.93835517,5520.789151,37.784,1.84,Chain Pickerel
7954,31,126,702,4,84,61.01266486,88452.30137,43.618,5.26,Chain Pickerel
3673,23,44,754,5,10,42.22095457,33176.04121,34.394,4.15,Chain Pickerel
8409,29,103,666,1,68,91.1260048,68598.0502,38.062,4.02,Chain Pickerel
7914,29,103,171,5,66,33.44424053,17613.43344,42.062,5.99,Chain Pickerel
7817,19,24,522,3,1,37.97174442,12528.82112,27.282,1.015,Chain Pickerel
7420,26,65,118,3,32,31.07890462,7670.903974,36.228,4.48,Chain Pickerel
2236,16,14,362,3,9,22.89045987,5068.230968,23.448,5.135,Chain Pickerel
9698,27,83,40,7,51,58.46657172,3320.543855,41.506,1.765,Chain Pickerel
4733,19,24,416,8,5,30.16850652,9984.196936,32.282,3.075,Chain Pickerel
8771,24,51,423,4,16,45.07042798,21573.64631,34.672,1.24,Chain Pickerel
8916,18,20,541,1,3,31.87049028,10820.92147,24.004,3.045,Chain Pickerel
8680,15,11,676,4,9,17.86397042,7436.520916,23.17,2.135,Chain Pickerel
2398,21,33,63,2,6,29.00427029,2079.953243,28.838,1.09,Chain Pickerel
2107,20,28,391,3,2,42.17064788,10948.62192,28.56,4.03,Chain Pickerel
6600,31,126,24,3,88,75.6601641,3024.361843,42.618,3.32,Chain Pickerel
2956,28,92,689,8,58,65.33123329,63388.73275,43.784,4.87,Chain Pickerel
6352,24,51,421,8,20,42.57078768,21471.89744,38.672,1.3,Chain Pickerel
4986,31,126,353,4,88,68.87440031,44478.5904,43.618,2.32,Chain Pickerel
1505,15,11,162,5,10,20.05783682,1782.418172,24.17,4.15,Chain Pickerel
4522,22,38,39,1,6,38.46607631,1482.531877,29.116,4.09,Chain Pickerel
7324,15,11,746,3,14,17.51112417,8206.935127,22.17,5.21,Chain Pickerel
7042,31,126,304,6,89,123.9202182,38304.44948,45.618,4.335,Chain Pickerel
6593,31,126,537,3,89,112.1680038,67662.0315,42.618,3.335,Chain Pickerel
8359,23,44,750,5,14,25.44876243,33000.86287,34.394,1.21,Chain Pickerel
7617,23,44,403,2,16,25.88674365,17732.79971,31.394,3.24,Chain Pickerel
1226,29,103,562,4,66,105.3311943,57886.08974,41.062,3.99,Chain Pickerel
9545,22,38,503,5,5,25.2128218,19114.94978,33.116,4.075,Chain Pickerel
9932,18,20,450,3,9,27.77918792,9000.876538,26.004,3.135,Chain Pickerel
7388,25,58,381,6,24,73.25123867,22098.90249,37.95,3.36,Chain Pickerel
9679,18,20,453,5,8,18.05520694,9060.163702,28.004,1.12,Chain Pickerel
6346,27,83,176,2,51,53.02555531,14608.65751,36.506,5.765,Chain Pickerel
7395,31,126,157,7,90,51.54746144,19782.52328,46.618,5.35,Chain Pickerel
3716,16,14,217,8,12,26.62873776,3038.229554,28.448,4.18,Chain Pickerel
2957,31,126,256,8,84,115.9054332,32256.82757,47.618,3.26,Chain Pickerel
9011,17,17,125,8,9,29.96895894,2125.808527,29.726,1.135,Chain Pickerel
5588,20,28,554,1,1,32.55847235,15512.23362,26.56,3.015,Chain Pickerel
4305,26,65,49,2,32,90.77996029,3185.625684,35.228,4.48,Chain Pickerel
2598,17,17,361,7,11,19.71742844,6137.897186,28.726,3.165,Chain Pickerel
6868,27,83,95,8,50,71.0200843,7885.169245,42.506,1.75,Chain Pickerel
8331,23,44,426,3,10,35.8688732,18744.5489,32.394,4.15,Chain Pickerel
8927,16,14,190,5,11,22.39840888,2660.004079,25.448,5.165,Chain Pickerel
6314,19,24,515,2,6,24.20209833,12360.16825,26.282,3.09,Chain Pickerel
4053,19,24,684,5,2,35.68362495,16416.50788,29.282,5.03,Chain Pickerel
4713,25,58,167,6,25,75.4883435,9686.957888,37.95,1.375,Chain Pickerel
7815,30,114,631,8,74,80.12673996,71934.78731,46.34,5.11,Chain Pickerel
5890,30,114,31,5,74,132.4607174,3534.825365,43.34,2.11,Chain Pickerel
7716,30,114,504,5,74,110.1367413,57456.07718,43.34,6.11,Chain Pickerel
8151,17,17,75,2,8,24.8335456,1275.373546,23.726,4.12,Chain Pickerel
3463,31,126,708,4,87,64.9405221,89208.26105,43.618,5.305,Chain Pickerel
1949,29,103,581,8,69,41.50586165,59843.50995,45.062,4.035,Chain Pickerel
4544,21,33,57,3,3,27.9612968,1881.168801,29.838,5.045,Chain Pickerel
3514,20,28,57,8,0,43.91646919,1596.459546,33.56,4,Chain Pickerel
4077,20,28,713,5,1,26.38621344,19964.18096,30.56,3.015,Chain Pickerel
3962,30,114,234,4,73,83.7499805,26676.70263,42.34,5.095,Chain Pickerel
8971,24,51,595,8,19,51.09117166,30345.16241,38.672,1.285,Chain Pickerel
3428,23,44,116,1,15,41.61143682,5104.465764,30.394,5.225,Chain Pickerel
2122,20,28,459,2,3,45.92581097,12852.25647,27.56,4.045,Chain Pickerel
1931,17,17,496,3,6,26.56285463,8432.407382,24.726,3.09,Chain Pickerel
9343,24,51,347,2,18,60.24809432,17697.81454,32.672,3.27,Chain Pickerel
4099,28,92,232,6,55,67.05312085,21344.38054,41.784,3.825,Chain Pickerel
3544,21,33,322,3,6,35.28304846,10626.42043,29.838,4.09,Chain Pickerel
7659,22,38,233,3,7,33.2121397,8854.859428,31.116,2.105,Chain Pickerel
6256,17,17,128,1,5,23.50420725,2176.752301,22.726,3.075,Chain Pickerel
3958,20,28,490,3,0,37.23112749,13720.56036,28.56,2,Chain Pickerel
9636,23,44,462,7,15,26.32503063,20328.37335,36.394,4.225,Chain Pickerel
9547,31,126,241,1,88,131.6324781,30366.81986,40.618,6.32,Chain Pickerel
7352,23,44,600,2,11,42.93653281,26400.76379,31.394,1.165,Chain Pickerel
2058,25,58,600,2,27,47.26574006,34800.9952,33.95,2.405,Chain Pickerel
9336,18,20,44,8,6,18.14269507,880.2939131,31.004,3.09,Chain Pickerel
4625,24,51,694,2,21,60.5302194,35394.34151,32.672,2.315,Chain Pickerel
4628,16,14,515,4,13,27.39023025,7210.82478,24.448,5.195,Chain Pickerel
1587,25,58,24,1,22,73.3085324,1392.012566,32.95,4.33,Chain Pickerel
7088,17,17,34,7,11,25.28532721,578.3028135,28.726,4.165,Chain Pickerel
7565,16,14,246,8,13,20.43251007,3444.734968,28.448,5.195,Chain Pickerel
3573,23,44,464,5,15,45.13039548,20416.56644,34.394,1.225,Chain Pickerel
5530,17,17,176,8,8,32.86560993,2992.107902,29.726,1.12,Chain Pickerel
6214,28,92,454,8,59,37.54539936,41768.74518,43.784,2.885,Chain Pickerel
6661,18,20,549,4,7,18.4328933,10980.05352,27.004,3.105,Chain Pickerel
5251,21,33,339,3,6,49.28634626,11187.79322,29.838,4.09,Chain Pickerel
7647,15,11,63,1,15,19.92753906,693.9202393,20.17,4.225,Chain Pickerel
6451,30,114,191,5,74,105.9730928,21774.81519,43.34,4.11,Chain Pickerel
1785,31,126,736,4,86,135.7102328,92736.41326,43.618,5.29,Chain Pickerel
9385,17,17,145,6,9,27.48753958,2465.118897,27.726,2.135,Chain Pickerel
5607,19,24,506,5,4,25.94986668,12144.19437,29.282,3.06,Chain Pickerel
2000,22,38,105,1,7,29.36030914,3990.078377,29.116,4.105,Chain Pickerel
5796,26,65,32,8,28,68.10819986,2080.274861,41.228,4.42,Chain Pickerel
6232,20,28,531,2,2,25.67548764,14868.97142,27.56,5.03,Chain Pickerel
7297,18,20,409,3,9,25.26056467,8180.6584,26.004,3.135,Chain Pickerel
6763,16,14,608,8,13,24.69820908,8512.796615,28.448,3.195,Chain Pickerel
5889,15,11,62,3,15,21.55249775,682.9593308,22.17,2.225,Chain Pickerel
5920,24,51,652,4,21,50.43499367,33252.86805,34.672,5.315,Chain Pickerel
5199,16,14,142,1,9,28.68930216,1988.844769,21.448,3.135,Chain Pickerel
6933,16,14,317,2,13,20.70861308,4438.312233,22.448,5.195,Chain Pickerel
8248,16,14,194,1,11,24.72578771,2716.016762,21.448,1.165,Chain Pickerel
5809,23,44,205,4,11,41.69022049,9020.566729,33.394,1.165,Chain Pickerel
9478,19,24,541,3,5,22.22894559,12984.61377,27.282,4.075,Chain Pickerel
5837,22,38,508,1,11,44.04315641,19304.24459,29.116,4.165,Chain Pickerel
8655,26,65,526,4,32,28.907101,34190.94357,37.228,3.48,Chain Pickerel
1917,18,20,62,2,4,26.68917378,1240.824027,25.004,4.06,Chain Pickerel
4067,31,126,9,5,89,47.72870279,1134.995709,44.618,3.335,Chain Pickerel
4111,19,24,707,1,5,32.89934382,16968.60417,25.282,4.075,Chain Pickerel
2434,24,51,753,8,21,49.23180233,38403.38592,38.672,5.315,Chain Pickerel
8577,27,83,117,6,49,53.70554774,9711.590925,40.506,4.735,Chain Pickerel
1324,30,114,667,8,77,131.3585677,76038.09215,46.34,2.155,Chain Pickerel
9606,22,38,142,8,9,35.50072289,5396.255225,36.116,1.135,Chain Pickerel
6438,25,58,545,3,25,70.17451962,31610.29211,34.95,2.375,Chain Pickerel
9392,29,103,740,6,68,101.8212436,76220.14717,43.062,6.02,Chain Pickerel
9520,25,58,33,2,28,48.62173199,1914.992392,33.95,1.42,Chain Pickerel
6203,29,103,666,3,67,41.38157273,68598.8695,40.062,5.005,Chain Pickerel
5630,18,20,648,7,8,21.94257692,12960.85464,30.004,4.12,Chain Pickerel
2474,20,28,610,1,1,31.18706823,17080.95765,26.56,1.015,Chain Pickerel
6013,29,103,310,1,64,121.2619438,31930.78521,38.062,3.96,Chain Pickerel
3576,20,28,110,3,2,36.26034994,3080.140088,28.56,4.03,Chain Pickerel
6058,26,65,526,2,30,72.76553469,34190.58355,35.228,3.45,Chain Pickerel
3892,26,65,200,4,28,40.994874,13000.72037,37.228,1.42,Chain Pickerel
3402,25,58,58,8,22,74.10685108,3364.516545,39.95,5.33,Chain Pickerel
2346,20,28,560,8,1,37.36842942,15680.46786,33.56,2.015,Chain Pickerel
3420,23,44,285,4,15,51.09801625,12540.12047,33.394,4.225,Chain Pickerel
9168,21,33,732,4,6,46.08964392,24156.27841,30.838,1.09,Chain Pickerel
9782,22,38,233,2,5,56.09017826,8854.944704,30.116,1.075,Chain Pickerel
2435,22,38,156,2,6,29.05036137,5928.748784,30.116,4.09,Chain Pickerel
6028,21,33,184,1,7,42.540835,6072.200236,27.838,5.105,Chain Pickerel
8981,25,58,657,4,24,76.16445561,38106.48409,35.95,1.36,Chain Pickerel
8469,17,17,675,1,9,27.11042421,11475.36154,22.726,5.135,Chain Pickerel
3187,21,33,51,8,4,36.43165534,1683.397829,34.838,1.06,Chain Pickerel
2187,17,17,599,7,5,20.16685309,10183.56942,28.726,4.075,Chain Pickerel
8372,24,51,8,6,17,48.04672699,408.8564808,36.672,2.255,Chain Pickerel
4410,29,103,736,3,69,71.56279813,75808.93263,40.062,6.035,Chain Pickerel
9126,30,114,171,4,77,123.4682071,19494.68695,42.34,3.155,Chain Pickerel
7778,28,92,473,2,55,41.09155912,43516.2431,37.784,4.825,Chain Pickerel
7471,28,92,435,4,55,102.5014255,40020.59676,39.784,4.825,Chain Pickerel
