"","year","date","statefips","countyfips","ctfips","latitude","longitude","ds_o3_pred","ds_o3_stdd"
"1","2016","01JAN2016","55","105","55105001500","42.50099","-89.02769","35.3495","4.9578"
"2","2016","01JAN2016","55","105","55105001600","42.50188","-89.04802","35.5441","5.1575"
"3","2016","01JAN2016","55","105","55105001900","42.50673","-89.01721","35.6252","5.2316"
"4","2016","01JAN2016","55","105","55105002000","42.50687","-89.06441","35.6232","5.1077"
"5","2016","01JAN2016","55","105","55105001700","42.51589","-89.04543","35.6773","5.0552"
"6","2016","01JAN2016","55","105","55105001800","42.51755","-89.02678","35.5591","5.1538"
"7","2016","01JAN2016","55","105","55105002100","42.53038","-89.05855","35.4592","5.2123"
"8","2016","01JAN2016","55","105","55105002300","42.53279","-89.02897","35.6961","5.0425"
"9","2016","01JAN2016","55","105","55105002602","42.53666","-88.9448","35.5261","5.1099"
"10","2016","01JAN2016","55","105","55105002500","42.53716","-89.01592","35.3006","5.1933"
"11","2016","01JAN2016","55","105","55105002200","42.54582","-89.09027","35.6705","5.105"
"12","2016","01JAN2016","55","105","55105003300","42.54762","-88.83378","35.4578","5.031"
"13","2016","01JAN2016","55","105","55105002700","42.54843","-89.24627","35.4687","5.1232"
"14","2016","01JAN2016","55","105","55105002601","42.55448","-88.99945","35.4924","5.0568"
"15","2016","01JAN2016","55","105","55105002400","42.56141","-89.02588","35.4948","5.0778"
"16","2016","01JAN2016","55","105","55105001400","42.62309","-89.01896","35.4729","5.0334"
"17","2016","01JAN2016","55","105","55105001302","42.64148","-88.93872","35.4405","5.1546"
"18","2016","01JAN2016","55","105","55105001201","42.64202","-89.09185","35.4675","5.2126"
"19","2016","01JAN2016","55","105","55105001100","42.65795","-89.04421","35.3643","5.2668"
"20","2016","01JAN2016","55","105","55105001000","42.66515","-89.01236","35.3377","5.0889"
"21","2016","01JAN2016","55","105","55105002800","42.66682","-89.23995","35.449","5.1975"
"22","2016","01JAN2016","55","105","55105000300","42.67417","-89.02437","35.2507","5.0199"
"23","2016","01JAN2016","55","105","55105000400","42.67738","-89.04153","35.0689","5.2878"
"24","2016","01JAN2016","55","105","55105000200","42.68317","-89.01108","35.3912","5.1773"
"25","2016","01JAN2016","55","105","55105000100","42.68356","-89.02426","35.3866","5.1503"
"26","2016","01JAN2016","55","105","55105000900","42.6843","-88.99207","35.3347","5.2048"
"27","2016","01JAN2016","55","105","55105000800","42.69536","-89.00179","35.2831","5.1949"
"28","2016","01JAN2016","55","105","55105000600","42.69674","-89.02224","35.0276","5.155"
"29","2016","01JAN2016","55","105","55105000500","42.70099","-89.04299","35.295","5.1816"
"30","2016","01JAN2016","55","105","55105000700","42.71025","-88.99385","35.1207","5.2986"
"31","2016","01JAN2016","55","105","55105001304","42.71477","-88.97057","35.224","5.2014"
"32","2016","01JAN2016","55","105","55105003200","42.72317","-88.83716","35.1472","5.1733"
"33","2016","01JAN2016","55","105","55105001202","42.73139","-89.06797","35.3016","5.2284"
"34","2016","01JAN2016","55","105","55105001303","42.73339","-88.94172","35.1705","5.1976"
"35","2016","01JAN2016","55","105","55105002900","42.78101","-89.29198","35.2969","5.3177"
"36","2016","01JAN2016","55","105","55105003002","42.80168","-89.11307","35.0599","5.2915"
"37","2016","01JAN2016","55","105","55105003100","42.80181","-88.95325","34.9736","5.2666"
"38","2016","01JAN2016","55","105","55105003001","42.83565","-89.07194","35.033","5.2329"
"39","2016","02JAN2016","55","105","55105001500","42.50099","-89.02769","36.7608","4.3675"
"40","2016","02JAN2016","55","105","55105001600","42.50188","-89.04802","37.0561","4.4637"
"41","2016","02JAN2016","55","105","55105001900","42.50673","-89.01721","36.9744","4.4428"
"42","2016","02JAN2016","55","105","55105002000","42.50687","-89.06441","36.8126","4.6205"
"43","2016","02JAN2016","55","105","55105001700","42.51589","-89.04543","37.0157","4.5734"
"44","2016","02JAN2016","55","105","55105001800","42.51755","-89.02678","36.9232","4.5882"
"45","2016","02JAN2016","55","105","55105002100","42.53038","-89.05855","36.9035","4.5914"
"46","2016","02JAN2016","55","105","55105002300","42.53279","-89.02897","36.9957","4.5264"
"47","2016","02JAN2016","55","105","55105002602","42.53666","-88.9448","36.8179","4.6274"
"48","2016","02JAN2016","55","105","55105002500","42.53716","-89.01592","36.9373","4.5598"
"49","2016","02JAN2016","55","105","55105002200","42.54582","-89.09027","37.1704","4.7749"
"50","2016","02JAN2016","55","105","55105003300","42.54762","-88.83378","36.9174","4.706"
"51","2016","02JAN2016","55","105","55105002700","42.54843","-89.24627","37.125","4.7291"
"52","2016","02JAN2016","55","105","55105002601","42.55448","-88.99945","36.9586","4.6262"
"53","2016","02JAN2016","55","105","55105002400","42.56141","-89.02588","37.1484","4.7197"
"54","2016","02JAN2016","55","105","55105001400","42.62309","-89.01896","37.0921","4.8806"
"55","2016","02JAN2016","55","105","55105001302","42.64148","-88.93872","37.1614","4.7688"
"56","2016","02JAN2016","55","105","55105001201","42.64202","-89.09185","37.267","4.8608"
"57","2016","02JAN2016","55","105","55105001100","42.65795","-89.04421","37.3149","4.8298"
"58","2016","02JAN2016","55","105","55105001000","42.66515","-89.01236","37.1819","4.908"
"59","2016","02JAN2016","55","105","55105002800","42.66682","-89.23995","37.3555","4.9345"
"60","2016","02JAN2016","55","105","55105000300","42.67417","-89.02437","37.2579","4.8337"
"61","2016","02JAN2016","55","105","55105000400","42.67738","-89.04153","37.3788","5.1046"
"62","2016","02JAN2016","55","105","55105000200","42.68317","-89.01108","37.2942","5.0002"
"63","2016","02JAN2016","55","105","55105000100","42.68356","-89.02426","37.3814","4.9698"
"64","2016","02JAN2016","55","105","55105000900","42.6843","-88.99207","37.2515","5.0653"
"65","2016","02JAN2016","55","105","55105000800","42.69536","-89.00179","37.4535","4.8533"
"66","2016","02JAN2016","55","105","55105000600","42.69674","-89.02224","37.2578","4.8795"
"67","2016","02JAN2016","55","105","55105000500","42.70099","-89.04299","37.2463","5.0439"
"68","2016","02JAN2016","55","105","55105000700","42.71025","-88.99385","37.2381","4.8937"
"69","2016","02JAN2016","55","105","55105001304","42.71477","-88.97057","37.0806","4.9642"
"70","2016","02JAN2016","55","105","55105003200","42.72317","-88.83716","37.2883","5.027"
"71","2016","02JAN2016","55","105","55105001202","42.73139","-89.06797","37.2914","5.0033"
"72","2016","02JAN2016","55","105","55105001303","42.73339","-88.94172","37.1621","4.945"
"73","2016","02JAN2016","55","105","55105002900","42.78101","-89.29198","37.3579","5.113"
"74","2016","02JAN2016","55","105","55105003002","42.80168","-89.11307","37.3458","5.1638"
"75","2016","02JAN2016","55","105","55105003100","42.80181","-88.95325","37.3579","5.0849"
"76","2016","02JAN2016","55","105","55105003001","42.83565","-89.07194","37.1857","5.1021"
"77","2016","03JAN2016","55","105","55105001500","42.50099","-89.02769","34.1854","4.3401"
