"Notes"	"County"	"County Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Adams County, WI"	"55001"	"Neoplasms"	"C00-D48"	72	20148	357.3556	279.6093	450.0286	42.1148
	"Adams County, WI"	"55001"	"Diseases of the nervous system"	"G00-G98"	11	20148	Unreliable	27.2543	97.6875	16.4613
	"Adams County, WI"	"55001"	"Diseases of the circulatory system"	"I00-I99"	86	20148	426.8414	341.4176	527.1448	46.0275
	"Adams County, WI"	"55001"	"Diseases of the respiratory system"	"J00-J98"	32	20148	158.8247	108.6361	224.2128	28.0765
	"Adams County, WI"	"55001"	"Diseases of the digestive system"	"K00-K92"	13	20148	Unreliable	34.3557	110.3355	17.8953
	"Adams County, WI"	"55001"	"External causes of morbidity and mortality"	"V01-Y89"	23	20148	114.1553	72.3642	171.2888	23.8030
	"Ashland County, WI"	"55003"	"Neoplasms"	"C00-D48"	54	15843	340.8445	256.0526	444.7271	46.3831
	"Ashland County, WI"	"55003"	"Mental and behavioural disorders"	"F01-F99"	10	15843	Unreliable	30.2683	116.0790	19.9601
	"Ashland County, WI"	"55003"	"Diseases of the circulatory system"	"I00-I99"	47	15843	296.6610	217.9746	394.4968	43.2725
	"Ashland County, WI"	"55003"	"Diseases of the respiratory system"	"J00-J98"	26	15843	164.1103	107.2018	240.4594	32.1847
	"Ashland County, WI"	"55003"	"External causes of morbidity and mortality"	"V01-Y89"	16	15843	Unreliable	57.7254	164.0033	25.2477
	"Barron County, WI"	"55005"	"Certain infectious and parasitic diseases"	"A00-B99"	13	45563	Unreliable	15.1921	48.7904	7.9133
	"Barron County, WI"	"55005"	"Neoplasms"	"C00-D48"	108	45563	237.0344	192.3295	281.7394	22.8086
	"Barron County, WI"	"55005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	29	45563	63.6481	42.6264	91.4095	11.8192
	"Barron County, WI"	"55005"	"Mental and behavioural disorders"	"F01-F99"	37	45563	81.2062	57.1765	111.9322	13.3502
	"Barron County, WI"	"55005"	"Diseases of the nervous system"	"G00-G98"	23	45563	50.4796	31.9995	75.7441	10.5257
	"Barron County, WI"	"55005"	"Diseases of the circulatory system"	"I00-I99"	148	45563	324.8250	272.4921	377.1578	26.7004
	"Barron County, WI"	"55005"	"Diseases of the respiratory system"	"J00-J98"	52	45563	114.1277	85.2363	149.6636	15.8267
	"Barron County, WI"	"55005"	"Diseases of the digestive system"	"K00-K92"	11	45563	Unreliable	12.0519	43.1975	7.2792
	"Barron County, WI"	"55005"	"Diseases of the genitourinary system"	"N00-N98"	11	45563	Unreliable	12.0519	43.1975	7.2792
	"Barron County, WI"	"55005"	"External causes of morbidity and mortality"	"V01-Y89"	32	45563	70.2324	48.0390	99.1471	12.4155
	"Bayfield County, WI"	"55007"	"Neoplasms"	"C00-D48"	46	14977	307.1376	224.8647	409.6786	45.2850
	"Bayfield County, WI"	"55007"	"Diseases of the nervous system"	"G00-G98"	13	14977	Unreliable	46.2174	148.4302	24.0739
	"Bayfield County, WI"	"55007"	"Diseases of the circulatory system"	"I00-I99"	60	14977	400.6143	305.7128	515.6707	51.7191
	"Bayfield County, WI"	"55007"	"Diseases of the respiratory system"	"J00-J98"	13	14977	Unreliable	46.2174	148.4302	24.0739
	"Bayfield County, WI"	"55007"	"External causes of morbidity and mortality"	"V01-Y89"	19	14977	Unreliable	76.3793	198.1090	29.1040
	"Brown County, WI"	"55009"	"Certain infectious and parasitic diseases"	"A00-B99"	50	258718	19.3261	14.3442	25.4791	2.7331
	"Brown County, WI"	"55009"	"Neoplasms"	"C00-D48"	467	258718	180.5054	164.1339	196.8769	8.3528
	"Brown County, WI"	"55009"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	58	258718	22.4182	17.0231	28.9807	2.9437
	"Brown County, WI"	"55009"	"Mental and behavioural disorders"	"F01-F99"	108	258718	41.7443	33.8713	49.6173	4.0168
	"Brown County, WI"	"55009"	"Diseases of the nervous system"	"G00-G98"	185	258718	71.5064	61.2022	81.8107	5.2573
	"Brown County, WI"	"55009"	"Diseases of the circulatory system"	"I00-I99"	628	258718	242.7353	223.7504	261.7203	9.6862
	"Brown County, WI"	"55009"	"Diseases of the respiratory system"	"J00-J98"	145	258718	56.0456	46.9231	65.1681	4.6543
