"","Page","Position_Name","Company_Name","Location_Name"
"1",999,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"2",999,"GoodApple","DataAnalyst","ChicagoIL"
"3",999,"AvisonYoung","DataAnalyst","ChicagoIL"
"4",999,"PatientIQ","DataAnalyst","ChicagoIL"
"5",999,"fluent360","DataAnalyst","ChicagoIL"
"6",999,"PayPal","DataScientist","ChicagoIL"
"7",999,"StrikeSocial","DataScientistDataAnalyst","ChicagoIL"
"8",999,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"9",999,"Swoon","DataAnalyst71286","ChicagoIL"
"10",999,"Obie","DataAnalyst","ChicagoIL"
"11",999,"fairlifeLLC","AnalystDataDecisionIntelligence","ChicagoIL"
"12",999,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"13",999,"PlanetTechnology","DataAnalyst","ChicagoIL"
"14",999,"KaufmanHall","DataScientist","ChicagoIL"
"15",999,"ChicagoHousingAuthority","PlanningAnalystI","ChicagoIL"
"16",999,"BoschUSA","DigitalMarketingAnalyst","MountProspectIL"
"17",999,"TrifectSolutions","DataAnalyst","ParkRidgeIL"
"18",999,"ChicagoBulls","AnalyticsEngineerBusinessStrategyAnalytics","ChicagoIL"
"19",999,"Morningstar","DevelopmentProgram","ChicagoIL"
"20",999,"AlliantCreditUnion","DataAnalyst","ChicagoIL"
"21",999,"DoubleGood","HeadofData","ChicagoIL"
"22",999,"TheIntelligenceExchange","BusinessAnalystDataScience","EvanstonIL"
"23",999,"Fever","ProjectManager","ChicagoIL"
"24",0,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"25",0,"GoodApple","DataAnalyst","ChicagoIL"
"26",0,"AvisonYoung","DataAnalyst","ChicagoIL"
"27",0,"PatientIQ","DataAnalyst","ChicagoIL"
"28",0,"fluent360","DataAnalyst","ChicagoIL"
"29",0,"PayPal","DataScientist","ChicagoIL"
"30",0,"StrikeSocial","DataScientistDataAnalyst","ChicagoIL"
"31",0,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"32",0,"Swoon","DataAnalyst71286","ChicagoIL"
"33",0,"Obie","DataAnalyst","ChicagoIL"
"34",0,"fairlifeLLC","AnalystDataDecisionIntelligence","ChicagoIL"
"35",0,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"36",0,"PlanetTechnology","DataAnalyst","ChicagoIL"
"37",0,"KaufmanHall","DataScientist","ChicagoIL"
"38",0,"ChicagoHousingAuthority","PlanningAnalystI","ChicagoIL"
"39",0,"BoschUSA","DigitalMarketingAnalyst","MountProspectIL"
"40",0,"TrifectSolutions","DataAnalyst","ParkRidgeIL"
"41",0,"ChicagoBulls","AnalyticsEngineerBusinessStrategyAnalytics","ChicagoIL"
