"","Page","Company_Name","Position_Name","Location_Name"
"1",999,"WPSHealthSolutions","HealthcareDataAnalyst","MadisonWI"
"2",999,"Pearson","SoftwareDataAnalyst","MadisonWI"
"3",999,"Staffigo","JrDataAnalyst","MadisonWI"
"4",999,"AmericanFamilyInsurance","BusinessAnalyticsAnalystIIOpentoRemote","MadisonWI"
"5",999,"SSMHealth","BusinessIntelligenceandAnalyticsSpecialist","MadisonWI"
"6",999,"UWHealth","WCHQDataAnalyst","MadisonWI"
"7",999,"Staffigo","JrBusinessIntelligenceAnalyst","MadisonWI"
"8",999,"StateofWisconsin","ISDataReportingandBusinessAnalyst","MadisonWI"
"9",999,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"10",999,"EurofinsLancasterLaboratories","FinanceAnalyticsIntern","MadisonWI"
"11",999,"ExploreJobSearch","DataAnalystResearchAnalystIII","MadisonWI"
"12",999,"TetraTech","DataAnalyst","MadisonWI"
"13",999,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"14",999,"ResourceInnovations","DataAnalyst","MadisonWI"
"15",999,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"16",999,"ElevanceHealth","EnrollmentDataAnalystII","MadisonWI"
"17",999,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"18",999,"ElevanceHealth","DataWarehouseAnalyst","MadisonWI"
"19",999,"Staffigo","JrBusinessIntelligenceAnalyst","MadisonWI"
"20",999,"UWHealth","AnalyticsConsultantAmbulatoryandPopulationHealth","MadisonWI"
"21",999,"ThermoFisherScientific","DataScientistII","MadisonWI"
"22",999,"ArrowheadPharmaceuticals","MasterDataSpecialist","MadisonWI"
"23",999,"BakerTillyUS","BusinessAnalyst","MadisonWI"
"24",999,"MadisonInvestments","FixedIncomeAnalyst","MadisonWI"
"25",999,"Staffigo","JuniorDataAnalyst","MadisonWI"
