"","Page","Position_Name","Company_Name","Location_Name"
"1",999,"Scalesology","DataAnalyst","ChicagoIL"
"2",999,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"3",999,"CityofChicago","DATABASEANALYST","ChicagoIL"
"4",999,"Arsenault","ExcelDataEntry","ChicagoIL"
"5",999,"ChicagoPublicArtGroup","AdministrativeAssistantProjectCoordinator","ChicagoIL"
"6",999,"ShakerRecruitmentMarketing","DataAnalyst","OakParkIL"
"7",999,"UroPartnersLLC","DataEntryAssociate","WestchesterIL"
"8",999,"Experfy","DataScientist","ChicagoIL"
"9",999,"PDITechnologies","JuniorDataOperationAnalyst","ChicagoIL"
"10",999,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"11",999,"ITW","DataAnalyst","GlenviewIL"
"12",999,"AnnRobertHLurieChildrensHospitalofChicago","DataAnalyst","ChicagoIL"
"13",999,"UniversityofChicago","DataAnalyst","ChicagoIL"
"14",999,"SonderMind","DataAnalyst","ChicagoIL"
"15",999,"AvisonYoung","DataAnalyst","ChicagoIL"
"16",999,"Proudfoot","DataBusinessAnalyst","ChicagoIL"
"17",999,"GoodApple","DataAnalyst","ChicagoIL"
"18",999,"AkoyaCapitalLLC","Analyst","ChicagoIL"
"19",999,"MarillacStVincentFamilyServices","DataQualityAnalyst","ChicagoIL"
"20",999,"UnitedAirlines","DirectorCustomerCare","ChicagoIL"
"21",999,"HireGenics","DataEntryClerk","OakLawnIL"
"22",999,"CityofChicago","DatabaseAnalyst","ChicagoIL"
"23",999,"SupernovaTechnology","DataAnalyst","ChicagoIL"
"24",999,"AdministrativeOfficeoftheIllinoisCourts","ITDataAnalyst","ChicagoIL"
"25",999,"VitalityGroupInc","StatisticalAnalyst","ChicagoIL"
