"","Page","Company_Name","Position_Name","Location_Name"
"1",999,"Opterrix","DataEngineer","MadisonWI"
"2",999,"Pearson","SoftwareDataAnalyst","MadisonWI"
"3",999,"UWHealth","WCHQDataAnalyst","MadisonWI"
"4",999,"SSMHealth","BusinessIntelligenceandAnalyticsSpecialist","MadisonWI"
"5",999,"Staffigo","JrBusinessIntelligenceAnalyst","MadisonWI"
"6",999,"Staffigo","DataAnalystEntryLevel","MadisonWI"
"7",999,"TetraTech","DataAnalyst","MadisonWI"
"8",999,"EurofinsLancasterLaboratories","FinanceAnalyticsIntern","MadisonWI"
"9",999,"ExploreJobSearch","DataAnalystResearchAnalystIII","MadisonWI"
"10",999,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"11",999,"ElevanceHealth","EnrollmentDataAnalystII","MadisonWI"
"12",999,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"13",999,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"14",999,"ElevanceHealth","DataWarehouseAnalyst","MadisonWI"
"15",999,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"16",999,"ArrowheadPharmaceuticals","MasterDataSpecialist","MadisonWI"
"17",999,"UWHealth","AnalyticsConsultantAmbulatoryandPopulationHealth","MadisonWI"
"18",999,"ThermoFisherScientific","DataScientistII","MadisonWI"
"19",999,"BakerTillyUS","BusinessAnalyst","MadisonWI"
"20",999,"MadisonInvestments","FixedIncomeAnalyst","MadisonWI"
"21",999,"RemoteWorkerUS","DataScientistIIOpentoRemote","CottageGroveWI"
"22",999,"Staffigo","JuniorDataAnalyst","MadisonWI"
"23",999,"Eurofins","FinanceAnalyticsIntern","MadisonWI"
"24",999,"gener8tor","ResearchAnalyst","MadisonWI"
"25",999,"ExploreJobSearch","DataScientist","MadisonWI"
"26",0,"Opterrix","DataEngineer","MadisonWI"
"27",0,"Pearson","SoftwareDataAnalyst","MadisonWI"
"28",0,"UWHealth","WCHQDataAnalyst","MadisonWI"
"29",0,"SSMHealth","BusinessIntelligenceandAnalyticsSpecialist","MadisonWI"
"30",0,"Staffigo","JrBusinessIntelligenceAnalyst","MadisonWI"
"31",0,"Staffigo","DataAnalystEntryLevel","MadisonWI"
"32",0,"TetraTech","DataAnalyst","MadisonWI"
"33",0,"EurofinsLancasterLaboratories","FinanceAnalyticsIntern","MadisonWI"
"34",0,"ExploreJobSearch","DataAnalystResearchAnalystIII","MadisonWI"
"35",0,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"36",0,"ElevanceHealth","EnrollmentDataAnalystII","MadisonWI"
"37",0,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"38",0,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"39",0,"ElevanceHealth","DataWarehouseAnalyst","MadisonWI"
"40",0,"Staffigo","EntryLevelDataAnalyst","MadisonWI"
"41",0,"ArrowheadPharmaceuticals","MasterDataSpecialist","MadisonWI"
"42",0,"UWHealth","AnalyticsConsultantAmbulatoryandPopulationHealth","MadisonWI"
"43",0,"ThermoFisherScientific","DataScientistII","MadisonWI"
"44",0,"BakerTillyUS","BusinessAnalyst","MadisonWI"
"45",0,"MadisonInvestments","FixedIncomeAnalyst","MadisonWI"
