"","Page","Company_Name","Position_Name","Location_Name"
"1",999,"SEEKCareersStaffing","DataEntry","MequonWI"
"2",999,"BatteriesPlus","DataEntrySpecialistHybridRemote","HartlandWI"
"3",999,"MilwaukeeArtMuseum","MarketingStrategist","MilwaukeeWI"
"4",999,"Genesis10","EntryLevelDataAnalystNoExperienceRequiredDev10WI","MilwaukeeWI"
"5",999,"ExploreJobSearch","DataEntry","MilwaukeeWI"
"6",999,"ExploreJobSearch","EntryLevelDataAnalyst","MilwaukeeWI"
"7",999,"AuroraHealthCare","DataSupportSpecialist","MilwaukeeWI"
"8",999,"HarleyDavidsonMotorCompany","DataScientistRemote","MilwaukeeWI"
"9",999,"ExploreJobSearch","DataEntry","MilwaukeeWI"
"10",999,"AFGInc","DataEntryClerkWorkFromHomePartTimeFocusGroupParticipants","MilwaukeeWI"
"11",999,"ViventHealth","HealthInformaticsDataAnalystCanbe","MilwaukeeWI"
"12",999,"ExploreJobSearch","DataEntry","MilwaukeeWI"
"13",999,"WRTPBIGSTEP","DataSupportSpecialist","MilwaukeeWI"
"14",999,"CreativeFinancialStaffingCFS","DataSpecialistRemote","MilwaukeeWI"
"15",999,"Zywave","DataAnalystRemote","MilwaukeeWI"
"16",999,"ChildrensWisconsin","DataAnalystRemote","MilwaukeeWI"
"17",999,"ExpertInstitute","ResearchAnalyst","MilwaukeeWI"
"18",999,"Expedient","EntryLevelITSupportAssociate","WestAllisWI"
"19",999,"SunriseSystemsInc","DataEntrySpecialistII","MilwaukeeWI"
"20",999,"ExploreJobSearch","DataEntryCoordinator","MilwaukeeWI"
"21",999,"ExploreJobSearch","DataEntryClerk","MilwaukeeWI"
"22",999,"DouglasDynamicsInc","LogisticsSpecialist","MilwaukeeWI"
"23",999,"Expedient","EntryLevelITSupportAssociate","MilwaukeeWI"
"24",999,"SchwaabInc","ManufacturingOperationsManager","BrookfieldWI"
"25",999,"AuroraHealthCare","RecordsDataAdmin","NewBerlinWI"
"26",0,"MolsonCoorsBeverageCompany","BIDataAnalyticsIntern","MilwaukeeWI"
"27",0,"Eaton","BusinessIntelligenceDataAnalyst","MenomoneeFallsWI"
"28",0,"BadgerMeter","InterfaceAnalystDataAnalyst","MilwaukeeWI"
"29",0,"USBank","DataAnalytics","MilwaukeeWI"
"30",0,"CreativeFinancialStaffingCFS","DataSpecialistRemote","MilwaukeeWI"
"31",0,"USBank","DataAnalyst","MilwaukeeWI"
"32",0,"ChildrensWisconsin","DataAnalystII05FTE","MilwaukeeWI"
"33",0,"ChildrensWisconsin","DataAnalystRemote","MilwaukeeWI"
"34",0,"ApexSystems","RemoteDataScienceAnalyst","MilwaukeeWI"
"35",0,"ChildrensWisconsin","DataScientistI","MilwaukeeWI"
"36",0,"CNHIndustrial","DataScienceAnalyst","RacineWI"
"37",0,"Staffigo","EntryLevelDataAnalyst","MilwaukeeWI"
"38",0,"Kohls","BusinessReportingAnalyst","MenomoneeFallsWI"
"39",0,"Staffigo","JrBusinessIntelligenceAnalyst","MilwaukeeWI"
"40",0,"Staffigo","DataAnalystEntryLevel","MilwaukeeWI"
"41",0,"AllspringGlobalInvestments","InvestmentsDataReportingAnalyst","MenomoneeFallsWI"
"42",0,"Staffigo","JrBusinessIntelligenceAnalyst","MilwaukeeWI"
"43",0,"ExploreJobSearch","EntryLevelDataAnalyst","MilwaukeeWI"
"44",0,"Staffigo","JrBusinessIntelligenceAnalyst","RacineWI"
"45",0,"NescoResource","BIDeveloper","MilwaukeeWI"
"46",0,"Genesis10","EntryLevelDataAnalystNoExperienceRequiredDev10WI","MilwaukeeWI"
"47",0,"Staffigo","EntryLevelDataAnalyst","MilwaukeeWI"
"48",0,"Staffigo","EntryLevelDataAnalyst","MilwaukeeWI"
"49",0,"Staffigo","DataAnalystEntryLevel","RacineWI"
"50",0,"WackerNeusonAmericaCorporation","IndustryandBusinessIntelligenceAnalyst","MenomoneeFallsWI"
"51",1,"MolsonCoorsBeverageCompany","BIDataAnalyticsIntern","MilwaukeeWI"
"52",1,"Eaton","BusinessIntelligenceDataAnalyst","MenomoneeFallsWI"
"53",1,"USBank","DataAnalytics","MilwaukeeWI"
"54",1,"CreativeFinancialStaffingCFS","DataSpecialistRemote","MilwaukeeWI"
"55",1,"USBank","DataAnalyst","MilwaukeeWI"
"56",1,"ChildrensWisconsin","DataAnalystII05FTE","MilwaukeeWI"
"57",1,"ChildrensWisconsin","DataAnalystRemote","MilwaukeeWI"
"58",1,"ApexSystems","RemoteDataScienceAnalyst","MilwaukeeWI"
"59",1,"ChildrensWisconsin","DataScientistI","MilwaukeeWI"
"60",1,"CNHIndustrial","DataScienceAnalyst","RacineWI"
"61",1,"ViventHealth","HealthInformaticsDataAnalystCanbe","MilwaukeeWI"
"62",1,"Staffigo","EntryLevelDataAnalyst","MilwaukeeWI"
"63",1,"Staffigo","EntryLevelDataAnalyst","MilwaukeeWI"
"64",1,"Kohls","BusinessReportingAnalyst","MenomoneeFallsWI"
"65",1,"Staffigo","JrBusinessIntelligenceAnalyst","MilwaukeeWI"
"66",1,"Staffigo","DataAnalystEntryLevel","MilwaukeeWI"
"67",1,"AllspringGlobalInvestments","InvestmentsDataReportingAnalyst","MenomoneeFallsWI"
"68",1,"Staffigo","JrBusinessIntelligenceAnalyst","MilwaukeeWI"
"69",1,"ExploreJobSearch","EntryLevelDataAnalyst","MilwaukeeWI"
"70",1,"Staffigo","JrBusinessIntelligenceAnalyst","RacineWI"
"71",1,"NescoResource","BIDeveloper","MilwaukeeWI"
"72",1,"Genesis10","EntryLevelDataAnalystNoExperienceRequiredDev10WI","MilwaukeeWI"
"73",1,"Staffigo","EntryLevelDataAnalyst","MilwaukeeWI"
"74",1,"Staffigo","EntryLevelDataAnalyst","MilwaukeeWI"
"75",1,"Staffigo","DataAnalystEntryLevel","RacineWI"
"76",2,"MilwaukeeArtMuseum","MarketingStrategist","MilwaukeeWI"
"77",2,"MilwaukeeBrewers","BusinessAnalyst","MilwaukeeWI"
"78",2,"ChildrensWisconsin","DataAnalystRemote","MilwaukeeWI"
"79",2,"BatteriesPlus","DataEntrySpecialistHybridRemote","HartlandWI"
"80",2,"USBank","DataAnalyst","MilwaukeeWI"
"81",2,"MolsonCoorsBeverageCompany","BIDataAnalyticsIntern","MilwaukeeWI"
"82",2,"ViventHealth","HealthInformaticsDataAnalystCanbe","MilwaukeeWI"
"83",2,"AuroraHealthCare","DataSupportSpecialist","MilwaukeeWI"
"84",2,"HarleyDavidsonMotorCompany","DataScientistRemote","MilwaukeeWI"
"85",2,"WRTPBIGSTEP","DataSupportSpecialist","MilwaukeeWI"
"86",2,"ExploreJobSearch","EntryLevelDataAnalyst","MilwaukeeWI"
"87",2,"AEBusinessSolutions","BusinessAnalystDataAnalytics","MilwaukeeWI"
"88",2,"USBank","DataAnalytics","MilwaukeeWI"
"89",2,"Zywave","DataAnalystRemote","MilwaukeeWI"
"90",2,"CommonGroundHealthcareCooperative","DataAnalystProgrammer","MilwaukeeWI"
"91",2,"SplashClinicalLLC","DataAnalyst","WauwatosaWI"
"92",2,"CompunnelInc","CyberSecurityAnalyst","MilwaukeeWI"
"93",2,"BrahmaConsultingGroup","BusinessIntelligenceDataAnalyst","GermantownWI"
"94",2,"BoucherAutomotiveGroup","DigitalMarketingManager","GreenfieldWI"
"95",2,"ChildrensWisconsin","DataScientistI","MilwaukeeWI"
"96",2,"Talimer","OperationsAnalyst","WestAllisWI"
"97",2,"Veolia","FinancialReportingAnalyst","MilwaukeeWI"
"98",2,"Expedient","EntryLevelITSupportAssociate","WestAllisWI"
"99",2,"Expedient","EntryLevelITSupportAssociate","MilwaukeeWI"
