"","Page","Position_Name","Company_Name","Location_Name"
"1",999,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"2",999,"PatientIQ","DataAnalyst","ChicagoIL"
"3",999,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"4",999,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"5",999,"iSpottv","DataAnalyst","ChicagoIL"
"6",999,"FarmersFridge","DataScientist","ChicagoIL"
"7",999,"AvisonYoung","DataAnalyst","ChicagoIL"
"8",999,"LevelEx","DataAnalyst","ChicagoIL"
"9",999,"UnitedAirlines","InternPeopleAnalyticsSummer2023","ChicagoIL"
"10",999,"fairlifeLLC","AnalystDataDecisionIntelligence","ChicagoIL"
"11",999,"SynecticsInc","DataAnalyst","ChicagoIL"
"12",999,"UniversityofChicago","DataAnalyst","ChicagoIL"
"13",999,"MagnoliaCapital","DataEngineerInternship","ChicagoIL"
"14",999,"FamilyChristian","DataAnalyst","HarveyIL"
"15",999,"TheParkingSpot","DataAnalyst","ChicagoIL"
"16",999,"StaffingNetworkLLC","EntrylevelVirtualDataEntryAnalystAssistantRemote","ChicagoIL"
"17",999,"ClapByInc","EntryLevelDataEntryAdministrativeVirtualAssistantRemotely","ChicagoIL"
"18",999,"RedwoodLogistics","DataAnalyst","ChicagoIL"
"19",999,"KaufmanHall","DataScientist","ChicagoIL"
"20",999,"PlanetTechnology","DataAnalyst","ChicagoIL"
"21",999,"Rheaply","DataAnalyst","ChicagoIL"
"22",999,"UniversityofChicago","DataAnalyst","ChicagoIL"
"23",999,"Experfy","DataScientist","ChicagoIL"
"24",0,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"25",0,"PatientIQ","DataAnalyst","ChicagoIL"
"26",0,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"27",0,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"28",0,"iSpottv","DataAnalyst","ChicagoIL"
