"","Page","Position_Name","Company_Name","Location_Name"
"1",999,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"2",999,"PatientIQ","DataAnalyst","ChicagoIL"
"3",999,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"4",999,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"5",999,"FarmersFridge","DataScientist","ChicagoIL"
"6",999,"iSpottv","DataAnalyst","ChicagoIL"
"7",999,"Pinterest","BusinessAnalystContentCreators","ChicagoIL"
"8",999,"AvisonYoung","DataAnalyst","ChicagoIL"
"9",999,"LevelEx","DataAnalyst","ChicagoIL"
"10",999,"UnitedAirlines","InternPeopleAnalyticsSummer2023","ChicagoIL"
"11",999,"fairlifeLLC","AnalystDataDecisionIntelligence","ChicagoIL"
"12",999,"UnitedAirlines","AnalystMarketingAnalytics","ChicagoIL"
"13",999,"UniversityofChicago","DataAnalyst","ChicagoIL"
"14",999,"Fetch","DataAnalyticsInternshipUIUCCareerFair","ChicagoIL"
"15",999,"FamilyChristian","DataAnalyst","HarveyIL"
"16",999,"MagnoliaCapital","DataEngineerInternship","ChicagoIL"
"17",999,"TheParkingSpot","DataAnalyst","ChicagoIL"
"18",999,"SynecticsInc","DataAnalyst","ChicagoIL"
"19",999,"StaffingNetworkLLC","EntrylevelVirtualDataEntryAnalystAssistantRemote","ChicagoIL"
"20",999,"RedwoodLogistics","DataAnalyst","ChicagoIL"
"21",999,"KaufmanHall","DataScientist","ChicagoIL"
"22",999,"AlliantCreditUnion","DataAnalyst","ChicagoIL"
"23",999,"PlanetTechnology","DataAnalyst","ChicagoIL"
"24",999,"Rheaply","DataAnalyst","ChicagoIL"
"25",999,"MuseumofScienceandIndustryChicago","MarketingManager","ChicagoIL"
"26",0,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"27",0,"PatientIQ","DataAnalyst","ChicagoIL"
"28",0,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
